Datum,Tijd,Valutadatum,Product,ISIN,Omschrijving,FX,Mutatie,,Saldo,,Order Id
13-07-2023,11:49,12-07-2023,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 976,17 EUR",,,,EUR,23.83,
13-07-2023,11:49,12-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,976.17,EUR,1000.00,
12-07-2023,04:51,11-07-2023,,,iDEAL Deposit,,EUR,1000.00,EUR,23.83,
12-07-2023,04:51,11-07-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,-1000.00,EUR,-976.17,
11-07-2023,16:34,11-07-2023,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 21,7 EUR",,,,EUR,23.83,
11-07-2023,16:34,11-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,21.70,EUR,45.53,
11-07-2023,09:33,11-07-2023,VANECK GLOBAL REAL ESTATE UCITS ETF,NL0009690239,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-1.00,EUR,23.83,67e39ca1-2f10-4f82-8365-1baad98c398f
11-07-2023,09:33,11-07-2023,VANECK GLOBAL REAL ESTATE UCITS ETF,NL0009690239,"Koop 29 @ 34,375 EUR",,EUR,-996.88,EUR,24.83,67e39ca1-2f10-4f82-8365-1baad98c398f
11-07-2023,08:51,11-07-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,1000.00,EUR,1021.70,
10-07-2023,17:34,10-07-2023,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 78,3 EUR",,,,EUR,21.70,
10-07-2023,17:34,10-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,78.30,EUR,100.00,
07-07-2023,05:01,06-07-2023,,,iDEAL Deposit,,EUR,100.00,EUR,21.70,
07-07-2023,05:01,06-07-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,-100.00,EUR,-78.30,
06-07-2023,09:39,06-07-2023,VANGUARD S&P500,IE00B3XXRP09,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-1.00,EUR,21.70,b7ab0494-1b46-4e2f-9bd2-f79e6c87cb5b
06-07-2023,09:39,06-07-2023,VANGUARD S&P500,IE00B3XXRP09,"Koop 1 @ 77,3 EUR",,EUR,-77.30,EUR,22.70,b7ab0494-1b46-4e2f-9bd2-f79e6c87cb5b
06-07-2023,09:37,06-07-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,100.00,EUR,100.00,
02-07-2023,16:41,30-06-2023,,,Flatex Interest Income,,EUR,0.00,EUR,0.00,
